,address,baths,beds,id,lat,lng,photoUrl,photoUrlForHdDpiDisplay,price,satellitePhotoUrl,shortPrice,sqft,streetViewPhotoUrl,url
135,35 Bethune St #MAISONETTE,3ba,4bd,1039655619,40.73679,-74.00767,/pictures/thumbs_3/zillowstatic/ISahj7vo400njd1000000000.jpg,/pictures/thumbs_4/zillowstatic/ISahj7vo400njd1000000000.jpg,"$2,895,000",,$2.9m,"2,110 sqft",,/p/ny/new-york/35-bethune-st-maisonette-new-york-ny-10014--1001433878
136,2041 5th Ave #6G,2ba,4bd,5047155684,40.807133,-73.94129,/pictures/thumbs_3/zillowstatic/ISuclpx9g3cgm90000000000.jpg,/pictures/thumbs_4/zillowstatic/ISuclpx9g3cgm90000000000.jpg,"$799,000",,$799k,"1,475 sqft",,/p/ny/new-york/2041-5th-ave-6g-new-york-ny-10035--2360236569
137,455 E 86th St #31B,3ba,3bd,3144041698,40.776356,-73.947174,/pictures/thumbs_3/zillowstatic/IS2rxyibc6aup90000000000.jpg,/pictures/thumbs_4/zillowstatic/IS2rxyibc6aup90000000000.jpg,"$2,650,000",,$2.65m,,,/p/ny/new-york/455-e-86th-st-31b-new-york-ny-10028--2088889598
138,78 W 132nd St,5ba,5bd,3103822526,40.811714,-73.94173,/pictures/thumbs_3/zillowstatic/ISecasmlxskff11000000000.jpg,/pictures/thumbs_4/zillowstatic/ISecasmlxskff11000000000.jpg,"$2,599,999",,$2.6m,"3,744 sqft",,/p/ny/new-york/78-w-132nd-st-new-york-ny-10037--32122
139,61A Plan in One Manhattan Square,3ba,3bd,4053602279,40.70994,-73.99121,/pictures/thumbs_3/ps.111/d/3/7/1/picture-uh=b3ce7dc77336a7c557ac858adc1b4d-ps=d37181cc1e8998bf34b6346fb28e4f6.jpg,/pictures/thumbs_4/ps.111/d/3/7/1/picture-uh=b3ce7dc77336a7c557ac858adc1b4d-ps=d37181cc1e8998bf34b6346fb28e4f6.jpg,"$4,424,000+",,$4.42m+,"1,667 sqft",,/builder-community/One-Manhattan-Square-6000243097/new-home/Plan-61A/4053602279
140,250 W 82nd St #21,3ba,4bd,5047115148,40.785732,-73.97878,/pictures/thumbs_3/zillowstatic/ISq12odop5agim0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISq12odop5agim0000000000.jpg,"$3,250,000",,$3.25m,,,/p/ny/new-york/250-w-82nd-st-21-new-york-ny-10024--2189230681
141,400 W 12th St #6C,4ba,3bd,3112751383,40.73721,-74.00925,/pictures/thumbs_3/zillowstatic/ISyvmeehajcgdu0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISyvmeehajcgdu0000000000.jpg,"$11,500,000",,$11.5m,"2,626 sqft",,/p/ny/new-york/400-w-12th-st-6c-new-york-ny-10014--2088831149
142,1010 Park Ave #10,5ba,4bd,5047122855,40.77949,-73.958275,/pictures/thumbs_3/zillowstatic/IS2jnxg6m7vumk0000000000.jpg,/pictures/thumbs_4/zillowstatic/IS2jnxg6m7vumk0000000000.jpg,"$18,000,000",,$18m,"3,881 sqft",,/p/ny/new-york/1010-park-ave-10-new-york-ny-10028--2360196560
143,71 Laight St #3C,6ba,5bd,3132098248,40.722027,-74.010185,/pictures/thumbs_3/zillowstatic/ISmi8h84e9tpyn1000000000.jpg,/pictures/thumbs_4/zillowstatic/ISmi8h84e9tpyn1000000000.jpg,"$9,810,000",,$9.81m,"3,708 sqft",,/p/ny/new-york/71-laight-st-3c-new-york-ny-10013--2008609808
144,738 Broadway #PH1,3ba,3bd,5033490032,40.729618,-73.99281,/pictures/thumbs_3/zillowstatic/ISegtpgb0ub0aq1000000000.jpg,/pictures/thumbs_4/zillowstatic/ISegtpgb0ub0aq1000000000.jpg,"$4,950,000",,$4.95m,"3,188 sqft",,/p/ny/new-york/738-broadway-ph1-new-york-ny-10003--2187410955
145,88 Greenwich St #1901,3ba,3bd,3086764714,40.707867,-74.01382,/pictures/thumbs_3/zillowstatic/ISugw0drmiv0wf0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISugw0drmiv0wf0000000000.jpg,"$2,995,000",,$3m,"1,940 sqft",,/p/ny/new-york/88-greenwich-st-1901-new-york-ny-10006--2008561164
146,116 W 127th St #2,4ba,3bd,3238716772,40.809223,-73.94549,/pictures/thumbs_3/zillowstatic/ISa5a4hg8o029h1000000000.jpg,/pictures/thumbs_4/zillowstatic/ISa5a4hg8o029h1000000000.jpg,"$2,995,000",,$3m,"2,577 sqft",,/p/ny/new-york/116-w-127th-st-2-new-york-ny-10027--2185939134
147,251 W 89th St #4A,3ba,3bd,3220369107,40.790337,-73.97495,/pictures/thumbs_3/zillowstatic/ISeozr82sch4041000000000.jpg,/pictures/thumbs_4/zillowstatic/ISeozr82sch4041000000000.jpg,"$2,000,000",,$2m,"1,700 sqft",,/p/ny/new-york/251-w-89th-st-4a-new-york-ny-10024--2088872894
148,610 W 110th St #12A,3ba,3bd,5047146286,40.804237,-73.96759,/pictures/thumbs_3/zillowstatic/ISat0pd4vybvvf0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISat0pd4vybvvf0000000000.jpg,"$2,395,000",,$2.4m,"1,452 sqft",,/p/ny/new-york/610-w-110th-st-12a-new-york-ny-10025--2088880837
